referencia;designacao;localizacao
009788G;PIVOT P/PORTAS SEM DOBRADIÇAS ATÉ 250KG;
01870037;CREMONA LOTHUS - PRETO;
01889B037;VARAO + CAPA LOTHUS PRETO 1800 MM;
01892BX00;TERMINAL CURVADO INOX;
01893A037;ELEM.FECHO LOTHUS - PRETO;
0195;GRELHA VENTILAÇAO CFA INT.BRANCA;
05601T32;DOBRADIÇA VENICE BRANCO;
05601T37;DOBRADIÇA VENICE PRETO;
0603;GRELHA VENTILAÇAO ISOLA 2  45 M³/H INT.BRANCA;F6P5
06038019;GRELHA VENTILAÇAO ISOLA 2  45 M³/H INT.CASTANHO 8019;
0603NO;GRELHA VENTILAÇAO ISOLA 2  45 M³/H INT.PRETA;F6P5
0610;GRELHA VENTILAÇAO RA ISOLA 2  ACRESCENTO ACUSTICO BRANCO;F6P5
06108019;GRELHA VENTILAÇAO RA ISOLA 2  ACRESCENTO ACUSTICO CAST.8019;F6P5
0610NO;GRELHA VENTILAÇAO RA ISOLA 2  ACRESCENTO ACUSTICO PRETO;F6P5
06438601;PARAFUSO 4.8X38 P/FERR. C/REFORÇO P/JAN. PVC;
0690;GRELHA VENTILAÇAO ISOLA HY EXTERIOR BRANCA;
0695G7;KIT GRELHA VENTILAÇAO AIRA HY - 7016;
0801237;BARRA ANTIPANICO 1 PONTO FECHO;
0801258;MEC.CENTRAL LATERAL BRANCO;
0802058;MECANISMO CENTRAL ANTIPANICO DUPLO;
0802258;MECANISMO CENTRAL PANAMA DUPLO C/AL.;
0803258;MECANISMO CENTRAL PANAMA TRIPLO C/ALOJ.;
0803537;MECANISMO CENTRAL TRIPLO C/ALOJ.PANAMA;
0803958;KIT CAPAS P/SAIDA CAIXA CENTRAL - BRANCO;CS16P1
0804037;SUPORTE CENTRAL SIMETRICO ANTIPANICO;
0804058;SUPORTE CENTRAL SIMETRICO ANTIPANICO;
0810071;BARRA HORIZONTAL ANTIP.PANAMA 830 MM - VERMELHA;
0815;GRELHA VENTILAÇAO VM-G 15/22/30 M³/H INT.BRANCA;F6P5
0815G7;GRELHA VENTILAÇAO VM-G 15/22/30 M³/H INT.7016;F6P5
0815NO;GRELHA VENTILAÇAO VM-G 15/22/30 M³/H INT.PRETA;F6P5
0822;GRELHA VENTILAÇAO CEA EXTERIOR BRANCA;F6P5
0822G7;GRELHA VENTILAÇAO CEA EXTERIOR 7016;F6P5
0822NO;GRELHA VENTILAÇAO CEA EXTERIOR PRETA;F6P5
0823;GRELHA VENTILAÇAO CE2A EXTERIOR BRANCA;F6P5
08238019;GRELHA VENTILAÇAO CE2A EXTERIOR CASTANHO 8019;
0823G7;GRELHA VENTILAÇAO CE2A EXTERIOR 7016;F6P5
0823GRIS;GRELHA VENTILAÇAO CE2A EXTERIOR PRATA 7035;
0823NO;GRELHA VENTILAÇAO CE2A EXTERIOR PRETA;F6P5
0833;GRELHA VENTILAÇAO M-G 15/22/30/45 M³/H INT.BRANCA;F6P5
0833G7;GRELHA VENTILAÇAO M-G 15/22/30/45 M³/H INT.7016;F6P5
0833NO;GRELHA VENTILAÇAO M-G 15/22/30/45 M³/H INT.PRETA;F6P5
0841;GRELHA VENTILAÇAO MINI ESEA 15/22/30 M³/H INT.BRANCA;D10P5
0841037;PESTILHO VERTICAL SUPERIOR/INFERIOR;
0841058;ESPIGAO VERT.SUP./INF. BRANCO;
0841G7;GRELHA VENTILAÇAO MINI ESEA 15/22/30 M³/H INT.7016;
0841NO;GRELHA VENTILAÇAO MINI ESEA 15/22/30 M³/H INT.PRETA;
0842;GRELHA VENTILAÇAO MINI ESEA 22/30 M³/H INT.BRANCA;
0842NO;GRELHA VENTILAÇAO MINI ESEA 22/30 M³/H INT.PRETA;
0844;KIT GRELHA VENTILAÇAO MINI ESEA 15/22/30 M³/H INT.BRANCA;
0845037;VARETA DE LIGAÇAO 950 MM VERTICAL;
0845058;VARETA DE LIGAÇAO 950 MM VERTICAL BRANCO;
0845237;VARETA DE LIGAÇAO 1365 MM VERTICAL;
0845258;VARETA DE LIGAÇAO 1365 MM VERTICAL BRANCO;
084726G;MSW PIVOT P/PORTAS;
0850337;ELEM.FECHO REGUL.ZAMAK PER.SOL.14/24;
08505IZ2;ELEM.FECHO REGUL.ZAMAK PER.ENR./SOL.;
0852037;TRINCO ELECTRICO REGULAVEL PANAMA;
0852737;ELEM.FECHO REGULAVEL ZAMAK PORT 2 FOLHAS;
0852758;FECHO P/PORTA 2 FOLHAS REGUL. EM ZAMAK;
08540X00;FECHO PASSADOR DE SOLO PANAMA;
0857037;CONJ.MANETE EXTERIOR + CILINDRO 40X65;
0857058;COM.EXT.C/MANETE E CILINDRO 40/65;
08570I058;COM.EXT.C/MANETE E CILINDRO 40/65;
0872;GRELHA VENTILAÇAO MINI ESEA ACRESCENTO ACUSTICO BRANCO;D10P5
08801B37;KIT MODULAR P/ANTIPANICO C/BARRA 71;
08802DB37;KIT MODULAR P/ANTIPANICO 1/FOLHA BARRA 71;
08803DB37;KIT MODULAR P/ANTIPANICO 3/P BARRA 71;
0884337;KIT MODULAR PARA ANTIPANICO PANAMA LN;
099851G;DETECTOR DE FUMO - PRATA;
100001P;SUPLEM.PLAST.P/RODA CORRER PABOSE 23,2MM - KOMMERLING;
100002P;SUPLEM.PLAST.P/RODA CORRER PABOSE 28,8MM - VEKA;
100003P;SUPLEM.PLAST.P/RODA CORRER PABOSE 27,8MM - DECEUNINCK;
1,0005E+13;CILINDRO  TE-5 5030 30X10 TESA - CHAVE SIMPLES;CILINDROS P1
1,0005E+13;CILINDRO  TE-5 30X45 NIQUEL TESA;
1,0005E+13;CILINDRO  TE-5 5030 40X10 TESA - CHAVE SIMPLES;
1,0005E+13;CILINDRO  TE-5 5030 45X10 TESA - CHAVE SIMPLES;
1,0005E+13;CILINDRO  50X70 - CHAVE SIMPLES;
1,0005E+13;CILINDRO  60X70 - CHAVE SIMPLES;
1,0005E+13;CILINDRO  60X100 - CHAVE NORMAL;
1000503B303523;CILINDRO C/BOTAO TE-5 30X35 CHAVE SIMPLES;
1000503B405023;CILINDRO C/BOTAO TE-5 40X50 CHAVE SIMPLES;
1,00079E+12;CILINDRO  25X25 - CHAVE SIMPLES;
1,00079E+12;CILINDRO  30X30 - CHAVE SIMPLES;
1000CT5303023;CILINDRO CT.TE-5 30X30 CHAVE SIMPLES;
1000CT5304023;CILINDRO CT.TE-5 30X40 CHAVE SIMPLES;
1000CT5305023;CILINDRO CT.TE-5 30X50 CHAVE SIMPLES;
1000CT5306023;CILINDRO CT.TE-5 30X60 CHAVE SIMPLES;
1000CT5307023;CILINDRO CT.TE-5 30X70 CHAVE SIMPLES;
1000CT5405023;CILINDRO CT.TE-5 40X500 CHAVE SIMPLES;
1000CT5454523;CILINDRO CT.TE-5 45X45 CHAVE SIMPLES;
1000CT5B4060N;CILINDRO C/BOTAO TE-5 40X60 CHAVE SIMPLES;
1000CT5B4545N;CILINDRO C/BOTAO TE-5 45X45 CHAVE SIMPLES;
1,00166E+12;CILINDRO  30X45 - CHAVE SEGURANÇA;
1,00166E+12;CILINDRO SEG.T60 30X60 NIQUEL TESA;CILINDROS
1,00166E+12;CILINDRO  35X40 - CHAVE SEGURANÇA;
1,00166E+12;CILINDRO  35X55 - CHAVE SEGURANÇA;
1,00166E+12;CILINDRO SEG.T60 40X40 NIQUEL TESA;
1,00166E+12;CILINDRO SEG.T60 45X50 NIQUEL TESA;
1,00166E+12;CILINDRO SEG.T60 55X60 NIQUEL TESA;
1,00166E+12;CILINDRO  60X70 - CHAVE SEGURANÇA;
100165B404023;CILINDRO C/BOTAO T60 40X40 - CHAVE SEGURANÇA;
100165B405023;CILINDRO SEG. C/BOTAO T60 45X50 NIQUEL TESA;
100165D405023;CILINDRO DUPLA ACÇAO T60 40X50 CHAVE SEGURANÇA;CILINDROS
100165D454523;CILINDRO SEG.DUP.ACÇAO T60 45X45 TESA;CILINDROS
100165D455023;CILINDRO DUPLA ACÇAO T60 45X50 CHAVE SEGURANÇA;CILINDROS P1
1001CT63012023;CILINDRO 30X120 CHAVE SEGURANÇA;
1001CT6303023;CILINDRO T60 30X30 CHAVE SEGURANÇA;
1001CT6304023;CILINDRO  30X40 - CHAVE SEGURANÇA;
1001CT6306023;CILINDRO CT60 30X60 CHAVE SEGURANÇA;
1001CT6307023;CILINDRO  30X70 - CHAVE SEGURANÇA;
1001CT6354023;CILINDRO T60 35X40 CHAVE SEGURANÇA;
1001CT6355523;CILINDRO  35X55 - CHAVE SEGURANÇA;
1001CT6404523;CILINDRO T60 40X45 CHAVE SEGURANÇA;
1001CT6405023;CILINDRO  40X50 - CHAVE SEGURANÇA;
1001CT6405523;CILINDRO T60 40X55 CHAVE SEGURANÇA;
1001CT6455023;CILINDRO  45X50 - CHAVE SEGURANÇA;
1001CT6455523;CILINDRO  45X55 - CHAVE SEGURANÇA;
1001CT6458023;CILINDRO  45X80 - CHAVE SEGURANÇA;
1001CT65013023;CILINDRO CT. 60 50X130 CHAVE SEGURANÇA;CILINDROS
1001CT6506023;CILINDRO CT60 50X60 CHAVE SEGURANÇA;
1001CT6610023;CILINDRO  60X100 - CHAVE SEGURANÇA;
1001CT6B3030;CILINDRO BOATAO 30X30 CHAVE SEGURANÇA;
1001CT6B3035;CILINDRO BOATAO 30X35 CHAVE SEGURANÇA;
1001CT6B3045;CILINDRO BOATAO 30X45 CHAVE SEGURANÇA;
1001CT6B3530;CILINDRO BOATAO 35X30 CHAVE SEGURANÇA;
1001CT6B3590N;CILINDRO SEG. C/BOTAO T60 35X90 NIQUEL;
1001CT6B4035;CILINDRO BOATAO 40X35 CHAVE SEGURANÇA;
1001CT6B4045;CILINDRO BOATAO 40X45 CHAVE SEGURANÇA;
1001CT6B4540;CILINDRO BOATAO 45X40 CHAVE SEGURANÇA;
1001CT6B4550;CILINDRO SEG.BOTAO CT.60.B 45X50;
1001CT6B455N;CILINDRO SEG.BOTAO CT.60.B 45X55 NIQUEL;
1001CT6B5050N;CILINDRO BOATAO 50X50 CHAVE SEGURANÇA;
1001CT6B5060;CILINDRO COM BOTAO T60 50X60 - CHAVE SEGURANÇA;
1001CT6D304023;CILINDRO  30X40 - DUPLA AÇAO CHAVE SEGURANÇA;
1001CT6D307023;CILINDRO  30X70 - DUPLA AÇAO CHAVE SEGURANÇA;
1001CT6D308023;CILINDRO DUPLA ACÇAO 30X80 - CHAVE SEGURANÇA;
1001CT6D404023;CILINDRO DUPLA ACÇAO  40X40 - CHAVE SEGURANÇA;
1001CT6D404523;CILINDRO DUPLA ACÇAO T60 40X45 CHAVE SEGURANÇA;
1001CT6D406023;CILINDRO DUPLA ACÇAO T60 40X60 CHAVE SEGURANÇA;
1001CT6D411023;CILINDRO DUPLA ACÇAO CT60 40X110 CHAVE SEGURANÇA;
1001CT6D455523;CILINDRO DUPLA ACÇAO  45X55 - CHAVE SEGURANÇA;CILINDROS P1
1001CT6D457523;CILINDRO DUPLA ACÇAO CT.60.D 45X75 CHAVE SEGURANÇA;
1001CT6D505023;CILINDRO DUPLA ACÇAO T60 50X50 CHAVE SEGURANÇA;
1001CT6D506023;CILINDRO DUPLA ACÇAO T60 50X60 CHAVE SEGURANÇA;
1001CTCP4D316123;CILINDRO INCORPORADO 31X61 CHAVE SEGURANÇA;
1001CTCPP4D465123;CILINDRO CT.CP4D 46 X 51 CHAVE SEGURANÇA;
1001REC1T60F;MESTRAGEM SIMPLES REC1T60F P/CANHAO T60;
1003LLAVSUAH;CHAVE VIRGEM P/CILINDRO NORMAL;DS3P4
1003LLAVSUMT60;CHAVE SUPLEMENTAR AMESTRADA T60;
101219G;MSW PERFIL EMBELEZADOR P/PERFIL SUPORTE;
101246G;MSW FECHADURA SEGURANÇA;
101266G;MSW PONTO DE GIRO INF.;
101290G;MSW BORRACHA 10MM U.E.;
101765G;MOLA AEREA GEZE TS 1000 BRAÇO S/RET. -  PRATA;GEZE P8
101767G;MOLA AEREA GEZE TS 1000 BRAÇO S/RET.- BRANCA;
101771G;MOLA AEREA GEZE TS 1000 BRAÇO C/RETENÇÃO - PRATA;
101792G;MOLA AEREA GEZE TS1500  S/RET - PRATA;GEZE P8
101793G;MOLA AEREA GEZE TS1500 S/RET - BRONZE;
101794G;MOLA AEREA GEZE TS 1500 S/RET - BRANCA;GEZE P7
101815G;BRAÇO ARTICULADO P/ MOLA AEREA GEZE TS 1500 C/RET - PRATA;GEZE P7
101817G;BRAÇO ARTICULADO P/ MOLA AEREA GEZE TS 1500 C/RET - BRANCO;GEZE P7
101878G;BRAÇO ARTICULADO P/ MOLA AEREA GEZE TS 1500 S/RET - PRATA;GEZE P7
101881G;BRAÇO ARTICULADO P/ MOLA AEREA GEZE TS 1500 S/RET - BRANCO;GEZE P7
101885G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - PRATA;GEZE P7
101886G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - BRONZE;
101887G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - BRANCA;GEZE P7
101888G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 1500 - PRETA;GEZE P7
102084G;MOLA DE PAVIMENTO TS 500 NV FORÇA VARIAVEL EN 1-4 S/RET.;
102127G;PLACA EMBELEZADORA TS 500 N/NV;GEZE P7
102247G;MOLA AEREA GEZE TS3000 EN 3 S/GUIA DESLIZANTE - PRATA;
